gat_kodas,tipas,pavadinimas,gyvenamoji_vietove._id
1131446,gatvė,Joninių,66799f53-d2e9-4279-b211-8081fb0db1bf
1131465,gatvė,Vaistažolių,66799f53-d2e9-4279-b211-8081fb0db1bf
1131484,gatvė,Žiburio,66799f53-d2e9-4279-b211-8081fb0db1bf
1131499,gatvė,Tuopų,66799f53-d2e9-4279-b211-8081fb0db1bf
1131503,gatvė,Uosių,66799f53-d2e9-4279-b211-8081fb0db1bf
1131518,gatvė,Eglių,66799f53-d2e9-4279-b211-8081fb0db1bf
1131522,gatvė,Slyvų,bc59fc16-754a-439f-918b-ce950d7592c1
1131537,gatvė,Kriaušių,bc59fc16-754a-439f-918b-ce950d7592c1
1131575,gatvė,Tumelinos,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1131609,gatvė,Magūnų,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1131613,gatvė,Grikiniškės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1131628,gatvė,Dvarvietės,4f76085f-c782-407d-9028-edaef54fa7f3
1132002,kelias,Dūkšto,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1132017,gatvė,Petriškės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132021,gatvė,Yliškės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132036,gatvė,Gražutės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132055,gatvė,Drūkšių,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132074,gatvė,Apvardų,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132089,gatvė,Skryto,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132093,gatvė,Bestinio,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132108,gatvė,Įlankos,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132112,gatvė,Smėlio,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1132184,gatvė,Malūno,cedf66b7-ccfe-4fde-bf98-58fca86c2e52
1132199,gatvė,Ąžuolų,8b5345dd-e1f9-4045-b495-ce5bc039985b
1132241,gatvė,Lankų,d14b4dc1-e2dc-4234-a36a-5eba469cf8b1
1132404,gatvė,Manikūnėlių,b6758bbf-19ad-42bb-91fd-6f95508f57ef
1132662,gatvė,Mokyklos,d595987f-7bdb-4be6-9199-1fda91216b74
1132677,gatvė,Ežero,e564934c-bdbe-4987-b74f-45c3c3b5f967
1132681,gatvė,Šlavantų,fede8e49-7515-4041-9aa3-30d6b3dfee94
1132696,gatvė,Liepų,fede8e49-7515-4041-9aa3-30d6b3dfee94
1132734,gatvė,Liepų,abc35a1a-5e61-46d6-b00c-dc8637c22765
1132749,gatvė,Rožinių,abc35a1a-5e61-46d6-b00c-dc8637c22765
1132753,gatvė,Beržų,d080dcc3-2dbc-42fc-ac8e-6f231a2bf294
1132768,gatvė,Šaltinių,d080dcc3-2dbc-42fc-ac8e-6f231a2bf294
1133229,gatvė,Magūnų,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1133233,gatvė,Pilvyčio,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1133248,gatvė,Miglos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1133286,gatvė,Pušų,66799f53-d2e9-4279-b211-8081fb0db1bf
1133305,gatvė,Trešnių,bc59fc16-754a-439f-918b-ce950d7592c1
1133324,gatvė,Vyšnių,bc59fc16-754a-439f-918b-ce950d7592c1
1133339,gatvė,Obelų,bc59fc16-754a-439f-918b-ce950d7592c1
1133358,gatvė,Vyšniavos,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1133362,gatvė,Latvių,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1133377,gatvė,Pamiškės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1133381,gatvė,Grybų,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1133396,gatvė,Serbiejiškės,b3bba856-6ad9-4606-a830-0785912dbbc2
1133415,gatvė,Grikiniškės,5632077f-c0cd-4d40-b3b0-431bc6bb7353
1133449,gatvė,Telžių,dc9da64b-3a02-4c2f-9325-a7673339cfcd
1133453,gatvė,Ratkūnų,1cae0df7-7342-4222-8bb4-b74998f6c87f
1133468,gatvė,Bažnyčios,1cae0df7-7342-4222-8bb4-b74998f6c87f
1133472,gatvė,Majėnų,1cae0df7-7342-4222-8bb4-b74998f6c87f
1133506,gatvė,Bažnyčios,6107331f-258c-48f6-97f4-9cf104b0bdcf
1133654,gatvė,Palėvenės,dd18d578-ed54-4c3d-820f-6daf786140f3
1133688,gatvė,Miško,fc47a32a-88d1-4283-b99b-942413583d3f
1133874,gatvė,Sodų,ec491a54-67fc-4288-90d4-3f59be386d92
1133889,gatvė,Kalno,ec491a54-67fc-4288-90d4-3f59be386d92
1134039,gatvė,Aitvarų 2-oji,dc1544a4-c567-4892-878a-c334aa52bda2
1134043,gatvė,Putinų 1-oji,02ab49f5-5117-4d3a-8eae-81bf423a2a88
1134058,gatvė,Putinų 2-oji,02ab49f5-5117-4d3a-8eae-81bf423a2a88
1134077,gatvė,Mirtų,d542fa0d-9b93-49ac-bf79-bacbd212fef8
1134096,takas,Bijūnų,63a22f4e-fe92-4db8-a04d-720601d2a241
1134115,gatvė,Sodiečių 2-oji,9d99eadd-e68e-4c20-97e9-4b6787a2e3de
1134134,gatvė,Pušyno,152ad2c0-4ead-4a49-812a-ea48d38cf55c
1134149,gatvė,Šaltinio,38e738ef-cc4d-4d14-942a-4ec146fb1b4d
1134153,gatvė,Pakalnės,06a346c2-55a1-408c-b2b5-919cf2c0e12f
1134168,gatvė,Strazdų,648668be-338a-4e74-9a6b-14321de3b37f
1134172,gatvė,Ąžuolo,06a346c2-55a1-408c-b2b5-919cf2c0e12f
1134187,gatvė,Šaltinių,2cc36e05-10e2-4184-9a46-b042223b1a91
1134244,gatvė,Derliaus,00a89ef0-ac1e-4774-9979-7253d270f238
1134259,gatvė,Strazdų,63a22f4e-fe92-4db8-a04d-720601d2a241
1134263,gatvė,Misos,63a22f4e-fe92-4db8-a04d-720601d2a241
1134278,gatvė,Ūkininkų,5e5aa6d8-791d-4932-86bc-8a027b652141
1134282,gatvė,Senoji,af09c9eb-de0d-416e-beed-4eb49305085e
1134297,gatvė,Malūno,af09c9eb-de0d-416e-beed-4eb49305085e
1134426,gatvė,Rudikų,74881e2a-48b6-4305-9f00-d890ace4b0b5
1134536,gatvė,Žvikės,9aca1533-93bc-4ec8-9a1d-449d87ab7f94
1134722,gatvė,Pamiškės,325027c7-caa9-427a-8423-670f4750b7b0
1134976,gatvė,Žiedo,229c602b-cb0a-45ec-818d-42432430d096
1134995,gatvė,Čeberakų,07533c93-8e0b-442e-93df-5ebfa91e7e66
1135001,gatvė,Stabatiškės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135016,gatvė,Austėjos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135035,gatvė,Vakarės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135054,gatvė,Krivių,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135069,gatvė,Laumių,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135073,gatvė,Kaukų,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1135111,gatvė,Tujų,bc59fc16-754a-439f-918b-ce950d7592c1
1135126,gatvė,Pasamanės,7cbf14b7-d3f2-4740-b55d-bd2de5adce12
1135145,gatvė,Geležinkelio,7cbf14b7-d3f2-4740-b55d-bd2de5adce12
1135164,gatvė,Pasmalvės,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1135179,gatvė,Smalvo,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1135183,gatvė,Ežero,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1135198,gatvė,Akmens,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1135221,gatvė,Sodų,e68683e0-2cd1-42a4-8a27-eca616b48888
1135255,gatvė,Mokyklos,6107331f-258c-48f6-97f4-9cf104b0bdcf
1135308,plentas,Prienų,9fa6f43b-7be9-4879-8b0c-c4c3ea7490ad
1135547,gatvė,Šaltinėlio,63a22f4e-fe92-4db8-a04d-720601d2a241
1135915,gatvė,Tauragės,8395df49-c21c-44c4-bfb0-2d66e7283f1b
1135949,gatvė,Kaštonų,11c85ecb-d4ee-43a2-8c71-e34741b04f99
1136194,gatvė,Baltasių,2d237d78-c881-4315-9fdf-c23a4bb97e4f
